"","sequence_ID","sample_ID","sequencing_ID","sample_type","organism_water","number","time_point","date","lake","elevation_m","temp_C","chla_ug.L","pH","DO_perc","spc","cond","DOC","TDN","TDP","phy_group","elev.cat","read.sum"
"211","309_16S","188_Z","MP_240_16S","Zooplankton","Daphnia",30,"4","2022-08-09","Serene",3124,16.9,1.55,7.94,69.2,20.1,17,3,188.74,6.19,"cladocera","Above",998
"212","31_16S","138_Z","MP_241_16S","Zooplankton","Calanoid",50,"4","2022-08-04","Virginia",2983,17.7,0.34,8.61,77.4,102.1,87.8,66.6,3228.98,4.02,"copepoda","Above",36273
"213","310_16S","155_Z","MP_242_16S","Zooplankton","Daphnia",30,"4","2022-08-05","Convict",2315,18.4,0.81,8.48,78.9,178.5,156,51.9,NA,4.02,"cladocera","Below",11066
"214","312_16S","167_Z","MP_244_16S","Zooplankton","Daphnia",30,"4","2022-08-05","Convict",2315,18.4,0.81,8.48,78.9,178.5,156,51.9,NA,4.02,"cladocera","Below",1042
"215","314_16S","147_Z","MP_246_16S","Zooplankton","Calanoid",50,"4","2022-08-04","Blue",3005,16.3,0.02,7.99,75.6,110.7,92.3,1.9,100.86,3.41,"copepoda","Above",10609
"216","315_16S","218_Z","MP_247_16S","Zooplankton","Daphnia",30,"5","2022-08-22","Virginia",2983,19.5,0.83,8.48,75.6,105.4,87.9,7.75,NA,NA,"cladocera","Above",46576
"217","316_16S","195_Z","MP_248_16S","Zooplankton","Holopedium",10,"4","2022-08-09","Serene",3124,16.9,1.55,7.94,69.2,20.1,17,3,188.74,6.19,"cladocera","Above",97293
"218","317_16S","161_Z","MP_249_16S","Zooplankton","Cyclopoid",50,"4","2022-08-05","Convict",2315,18.4,0.81,8.48,78.9,178.5,156,51.9,NA,4.02,"copepoda","Below",3983
"219","318_16S","198_Z","MP_250_16S","Zooplankton","Daphnia",30,"5","2022-08-22","Cooney",3116,17.9,0,8.07,69.8,177.3,139.8,31.3,NA,NA,"cladocera","Above",12439
"220","319_16S","180_Z","MP_251_16S","Zooplankton","Cyclopoid",50,"4","2022-08-09","Eastern Brook",3155,16,1.59,7.7,67.2,23,19,3.1,259.99,6.81,"copepoda","Above",168013
"221","32_16S","146_Z","MP_252_16S","Zooplankton","Calanoid",50,"4","2022-08-04","Blue",3005,16.3,0.02,7.99,75.6,110.7,92.3,1.9,100.86,3.41,"copepoda","Above",539
"222","320_16S","187_Z","MP_253_16S","Zooplankton","Calanoid",50,"4","2022-08-09","Serene",3124,16.9,1.55,7.94,69.2,20.1,17,3,188.74,6.19,"copepoda","Above",39629
"223","322_16S","202_Z","MP_255_16S","Zooplankton","Cyclopoid",50,"5","2022-08-22","Cooney",3116,17.9,0,8.07,69.8,177.3,139.8,31.3,NA,NA,"copepoda","Above",6582
"224","323_16S","151_Z","MP_256_16S","Zooplankton","Cyclopoid",35,"4","2022-08-04","Blue",3005,16.3,0.02,7.99,75.6,110.7,92.3,1.9,100.86,3.41,"copepoda","Above",2366
"225","324_16S","204_Z","MP_257_16S","Zooplankton","Cyclopoid",50,"5","2022-08-22","Cooney",3116,17.9,0,8.07,69.8,177.3,139.8,31.3,NA,NA,"copepoda","Above",2497
"226","325_16S","165_Z","MP_258_16S","Zooplankton","Daphnia",30,"4","2022-08-04","Cooney",3116,16.2,0.87,7.77,74.5,126.8,105.5,99.2,5982.29,7.43,"cladocera","Above",737
"227","328_16S","177_Z","MP_261_16S","Zooplankton","Daphnia",30,"4","2022-08-09","Eastern Brook",3155,16,1.59,7.7,67.2,23,19,3.1,259.99,6.81,"cladocera","Above",1649
"228","329_16S","131_Z","MP_262_16S","Zooplankton","Daphnia",30,"4","2022-08-04","Virginia",2983,17.7,0.34,8.61,77.4,102.1,87.8,66.6,3228.98,4.02,"cladocera","Above",5333
"229","33_16S","182_Z","MP_263_16S","Zooplankton","Calanoid",50,"4","2022-08-09","Eastern Brook",3155,16,1.59,7.7,67.2,23,19,3.1,259.99,6.81,"copepoda","Above",595
"230","330_16S","211_Z","MP_264_16S","Zooplankton","Daphnia",30,"5","2022-08-22","Blue",3005,18.5,0.55,7.93,73.1,115.1,93.6,1.1,NA,NA,"cladocera","Above",5541
"231","331_16S","169_Z","MP_265_16S","Zooplankton","Calanoid",50,"4","2022-08-04","Cooney",3116,16.2,0.87,7.77,74.5,126.8,105.5,99.2,5982.29,7.43,"copepoda","Above",1316
"232","332_16S","213_Z","MP_266_16S","Zooplankton","Daphnia",30,"5","2022-08-22","Blue",3005,18.5,0.55,7.93,73.1,115.1,93.6,1.1,NA,NA,"cladocera","Above",329
"233","333_16S","149_Z","MP_267_16S","Zooplankton","Cyclopoid",50,"4","2022-08-04","Blue",3005,16.3,0.02,7.99,75.6,110.7,92.3,1.9,100.86,3.41,"copepoda","Above",643
"234","334_16S","220_Z","MP_268_16S","Zooplankton","Cyclopoid",50,"5","2022-08-22","Virginia",2983,19.5,0.83,8.48,75.6,105.4,87.9,7.75,NA,NA,"copepoda","Above",106952
"235","336_16S","156_Z","MP_270_16S","Zooplankton","Daphnia",30,"4","2022-08-05","Convict",2315,18.4,0.81,8.48,78.9,178.5,156,51.9,NA,4.02,"cladocera","Below",10532
"236","337_16S","206_Z","MP_271_16S","Zooplankton","Calanoid",50,"5","2022-08-22","Blue",3005,18.5,0.55,7.93,73.1,115.1,93.6,1.1,NA,NA,"copepoda","Above",237
"237","338_16S","132_Z","MP_272_16S","Zooplankton","Daphnia",30,"4","2022-08-04","Virginia",2983,17.7,0.34,8.61,77.4,102.1,87.8,66.6,3228.98,4.02,"cladocera","Above",3295
"238","339_16S","139_Z","MP_273_16S","Zooplankton","Calanoid",50,"4","2022-08-04","Virginia",2983,17.7,0.34,8.61,77.4,102.1,87.8,66.6,3228.98,4.02,"copepoda","Above",1619
"239","34_16S","199_Z","MP_274_16S","Zooplankton","Daphnia",30,"5","2022-08-22","Cooney",3116,17.9,0,8.07,69.8,177.3,139.8,31.3,NA,NA,"cladocera","Above",1301
"240","340_16S","159_Z","MP_275_16S","Zooplankton","Cyclopoid",50,"4","2022-08-05","Convict",2315,18.4,0.81,8.48,78.9,178.5,156,51.9,NA,4.02,"copepoda","Below",235
"241","341_16S","208_Z","MP_276_16S","Zooplankton","Calanoid",50,"5","2022-08-22","Blue",3005,18.5,0.55,7.93,73.1,115.1,93.6,1.1,NA,NA,"copepoda","Above",164
"242","342_16S","200_Z","MP_277_16S","Zooplankton","Daphnia",30,"5","2022-08-22","Cooney",3116,17.9,0,8.07,69.8,177.3,139.8,31.3,NA,NA,"cladocera","Above",3018
"243","343_16S","214_Z","MP_278_16S","Zooplankton","Daphnia",30,"5","2022-08-22","Blue",3005,18.5,0.55,7.93,73.1,115.1,93.6,1.1,NA,NA,"cladocera","Above",2406
"244","344_16S","171_Z","MP_279_16S","Zooplankton","Calanoid",50,"4","2022-08-04","Cooney",3116,16.2,0.87,7.77,74.5,126.8,105.5,99.2,5982.29,7.43,"copepoda","Above",1794
"245","345_16S","210_Z","MP_280_16S","Zooplankton","Cyclopoid",50,"5","2022-08-22","Blue",3005,18.5,0.55,7.93,73.1,115.1,93.6,1.1,NA,NA,"copepoda","Above",1783
"246","346_16S","157_Z","MP_281_16S","Zooplankton","Daphnia",30,"4","2022-08-05","Convict",2315,18.4,0.81,8.48,78.9,178.5,156,51.9,NA,4.02,"cladocera","Below",343
"247","347_16S","212_Z","MP_282_16S","Zooplankton","Daphnia",30,"5","2022-08-22","Blue",3005,18.5,0.55,7.93,73.1,115.1,93.6,1.1,NA,NA,"cladocera","Above",4461
"248","348_16S","179_Z","MP_283_16S","Zooplankton","Cyclopoid",50,"4","2022-08-09","Eastern Brook",3155,16,1.59,7.7,67.2,23,19,3.1,259.99,6.81,"copepoda","Above",701
"249","35_16S","163_Z","MP_285_16S","Zooplankton","Calanoid",50,"4","2022-08-05","Convict",2315,18.4,0.81,8.48,78.9,178.5,156,51.9,NA,4.02,"copepoda","Below",10587
"250","350_16S","192_Z","MP_286_16S","Zooplankton","Bosmina",50,"4","2022-08-09","Serene",3124,16.9,1.55,7.94,69.2,20.1,17,3,188.74,6.19,"cladocera","Above",2135
"251","351_16S","141_Z","MP_287_16S","Zooplankton","Daphnia",30,"4","2022-08-04","Blue",3005,16.3,0.02,7.99,75.6,110.7,92.3,1.9,100.86,3.41,"cladocera","Above",396499
"252","352_16S","183_Z","MP_288_16S","Zooplankton","Calanoid",50,"4","2022-08-09","Eastern Brook",3155,16,1.59,7.7,67.2,23,19,3.1,259.99,6.81,"copepoda","Above",152459
"253","353_16S","27_Z","MP_289_16S","Zooplankton","Calanoid",50,"2","2022-07-07","Convict",2315,15.3,0.28,7.14,84.5,163.2,137.2,1.1,NA,4.33,"copepoda","Below",624
"254","354_16S","39_W","MP_290_16S","Water","Water",NA,"4","2022-08-09","Serene",3124,16.9,1.55,7.94,69.2,20.1,17,3,188.74,6.19,"water","Above",1329
"255","355_16S","1_Z","MP_291_16S","Zooplankton","Daphnia",30,"2","2022-07-06","Eastern Brook",3155,16,0.93,8.6,73.8,20.6,17,3.4,409.63,13.62,"cladocera","Above",2380
"256","356_16S","38_W","MP_292_16S","Water","Water",NA,"4","2022-08-09","Eastern Brook",3155,16,1.59,7.7,67.2,23,19,3.1,259.99,6.81,"water","Above",2211
"257","357_16S","13_Z","MP_293_16S","Zooplankton","Ceriodaphnia",50,"2","2022-07-06","Serene",3124,16.8,1.39,8.65,70,17.8,15,3,697.03,4102.48,"cladocera","Above",8999
"258","358_16S","125_Z","MP_294_16S","Zooplankton","Ceriodaphnia",50,"3","2022-07-22","Serene",3124,19.7,1.12,8.36,71.9,18.5,16.6,3.1,302.75,48.61,"cladocera","Above",147229
"259","36_16S","32_W","MP_296_16S","Water","Water",NA,"3","2022-07-22","Eastern Brook",3155,18.9,1.05,8.56,74.2,21,18.5,3.45,202.99,101.86,"water","Above",298
"260","360_16S","239_Z","MP_297_16S","Zooplankton","Calanoid",50,"5","2022-08-23","Serene",3124,18.8,1.98,7.9,67.8,20.8,16.5,3,NA,NA,"copepoda","Above",50080
"261","362_16S","225_Z","MP_299_16S","Zooplankton","Daphnia",30,"5","2022-08-23","Eastern Brook",3155,18.1,1.38,8.11,64.8,27.5,21,3.2,NA,NA,"cladocera","Above",335826
"262","363_16S","27_W","MP_300_16S","Water","Water",NA,"2","2022-07-06","Serene",3124,16.8,1.39,8.65,70,17.8,15,3,697.03,4102.48,"water","Above",4439
"263","365_16S","52_W","MP_302_16S","Water","Water",NA,"1","2022-06-26","Serene",3124,14.4,1.31,6.96,69.5,17.6,14,2.7,211.83,10.84,"water","Above",1569
"264","366_16S","228_Z","MP_303_16S","Zooplankton","Cyclopoid",50,"5","2022-08-23","Eastern Brook",3155,18.1,1.38,8.11,64.8,27.5,21,3.2,NA,NA,"copepoda","Above",1077
"265","367_16S","235_Z","MP_304_16S","Zooplankton","Daphnia",30,"5","2022-08-23","Serene",3124,18.8,1.98,7.9,67.8,20.8,16.5,3,NA,NA,"cladocera","Above",246
"266","368_16S","234_Z","MP_305_16S","Zooplankton","Daphnia",30,"5","2022-08-23","Serene",3124,18.8,1.98,7.9,67.8,20.8,16.5,3,NA,NA,"cladocera","Above",279
"267","37_16S","256_Z","MP_306_16S","Zooplankton","Cyclopoid",50,"5","2022-08-23","Convict",2315,20.9,0.39,8.03,73.1,172.3,139.8,2,NA,NA,"copepoda","Below",12598
"268","38_16S","251_Z","MP_307_16S","Zooplankton","Calanoid",50,"5","2022-08-23","Convict",2315,20.9,0.39,8.03,73.1,172.3,139.8,2,NA,NA,"copepoda","Below",2715
"269","39_16S","50_W","MP_308_16S","Water","Water",NA,"1","2022-06-25","Convict",2315,13.8,0.26,5.87,81.6,166,130.3,0.6,NA,NA,"water","Below",647
"270","40_16S","246_Z","MP_309_16S","Zooplankton","Daphnia",30,"5","2022-08-23","Convict",2315,20.9,0.39,8.03,73.1,172.3,139.8,2,NA,NA,"cladocera","Below",15396
"271","41_16S","227_Z","MP_310_16S","Zooplankton","Daphnia",30,"5","2022-08-23","Eastern Brook",3155,18.1,1.38,8.11,64.8,27.5,21,3.2,NA,NA,"cladocera","Above",980
"272","43_16S","51_W","MP_312_16S","Water","Water",NA,"1","2022-06-26","Eastern Brook",3155,13.1,0.4,6.9,67.3,20,15.5,3.1,217.44,32.97,"water","Above",41948
"273","44_16S","37_W","MP_313_16S","Water","Water",NA,"4","2022-08-05","Convict",2315,18.4,0.81,8.48,78.9,178.5,156,51.9,NA,4.02,"water","Below",144
"274","45_16S","231_Z","MP_314_16S","Zooplankton","Cyclopoid",50,"5","2022-08-23","Eastern Brook",3155,18.1,1.38,8.11,64.8,27.5,21,3.2,NA,NA,"copepoda","Above",195641
"275","46_16S","33_W","MP_315_16S","Water","Water",NA,"3","2022-07-22","Serene",3124,19.7,1.12,8.36,71.9,18.5,16.6,3.1,302.75,48.61,"water","Above",4949
"276","47_16S","223_Z","MP_316_16S","Zooplankton","Cyclopoid",50,"5","2022-08-22","Virginia",2983,19.5,0.83,8.48,75.6,105.4,87.9,7.75,NA,NA,"copepoda","Above",4292
"277","48_16S","8_W","MP_317_16S","Water","Water",NA,"1","2022-06-29","Virginia",2983,14.5,0.67,7.88,76,90.3,72.2,0.8,165.18,4.95,"water","Above",18681
"278","49_16S","229_Z","MP_318_16S","Zooplankton","Cyclopoid",50,"5","2022-08-23","Eastern Brook",3155,18.1,1.38,8.11,64.8,27.5,21,3.2,NA,NA,"copepoda","Above",6859
"279","50_16S","254_Z","MP_319_16S","Zooplankton","Cyclopoid",50,"5","2022-08-23","Convict",2315,20.9,0.39,8.03,73.1,172.3,139.8,2,NA,NA,"copepoda","Below",11391
"280","51_16S","245_Z","MP_320_16S","Zooplankton","Holopedium",10,"5","2022-08-23","Serene",3124,18.8,1.98,7.9,67.8,20.8,16.5,3,NA,NA,"cladocera","Above",26920
"281","52_16S","242_Z","MP_321_16S","Zooplankton","Ceriodaphnia",50,"5","2022-08-23","Serene",3124,18.8,1.98,7.9,67.8,20.8,16.5,3,NA,NA,"cladocera","Above",629
"282","53_16S","25_W","MP_322_16S","Water","Water",NA,"2","2022-07-07","Convict",2315,15.3,0.28,7.14,84.5,163.2,137.2,1.1,NA,4.33,"water","Below",829
"283","54_16S","241_Z","MP_323_16S","Zooplankton","Ceriodaphnia",50,"5","2022-08-23","Serene",3124,18.8,1.98,7.9,67.8,20.8,16.5,3,NA,NA,"cladocera","Above",14484
"284","55_16S","226_Z","MP_324_16S","Zooplankton","Daphnia",30,"5","2022-08-23","Eastern Brook",3155,18.1,1.38,8.11,64.8,27.5,21,3.2,NA,NA,"cladocera","Above",143158
"285","56_16S","253_Z","MP_325_16S","Zooplankton","Calanoid",50,"5","2022-08-23","Convict",2315,20.9,0.39,8.03,73.1,172.3,139.8,2,NA,NA,"copepoda","Below",21579
"286","57_16S","243_Z","MP_326_16S","Zooplankton","Ceriodaphnia",50,"5","2022-08-23","Serene",3124,18.8,1.98,7.9,67.8,20.8,16.5,3,NA,NA,"cladocera","Above",436
"287","58_16S","26_W","MP_327_16S","Water","Water",NA,"2","2022-07-06","Eastern Brook",3155,16,0.93,8.6,73.8,20.6,17,3.4,409.63,13.62,"water","Above",8824
"288","59_16S","30_W","MP_328_16S","Water","Water",NA,"2","2022-07-09","Virginia",2983,16.1,0.58,7.32,80.5,91.6,76.1,1.1,872.79,NA,"water","Above",1009
"289","60_16S","257_Z","MP_329_16S","Zooplankton","Cyclopoid",50,"5","2022-08-23","Convict",2315,20.9,0.39,8.03,73.1,172.3,139.8,2,NA,NA,"copepoda","Below",30436
"290","61_16S","43_W","MP_330_16S","Water","Water",NA,"5","2022-08-23","Convict",2315,20.9,0.39,8.03,73.1,172.3,139.8,2,NA,NA,"water","Below",61120
"291","62_16S","237_Z","MP_331_16S","Zooplankton","Calanoid",50,"5","2022-08-23","Serene",3124,18.8,1.98,7.9,67.8,20.8,16.5,3,NA,NA,"copepoda","Above",84010
"292","64_16S","238_Z","MP_333_16S","Zooplankton","Calanoid",50,"5","2022-08-23","Serene",3124,18.8,1.98,7.9,67.8,20.8,16.5,3,NA,NA,"copepoda","Above",1245
"293","65_16S","143_Z","MP_334_16S","Zooplankton","Daphnia",30,"4","2022-08-04","Blue",3005,16.3,0.02,7.99,75.6,110.7,92.3,1.9,100.86,3.41,"cladocera","Above",1908
"294","67_16S","35_W","MP_336_16S","Water","Water",NA,"3","2022-07-21","Blue",3005,17,0.22,8.48,81.3,100.2,84.9,0.9,79.48,6.19,"water","Above",161
"295","69_16S","255_Z","MP_338_16S","Zooplankton","Cyclopoid",50,"5","2022-08-23","Convict",2315,20.9,0.39,8.03,73.1,172.3,139.8,2,NA,NA,"copepoda","Below",59776
"296","70_16S","249_Z","MP_339_16S","Zooplankton","Daphnia",30,"5","2022-08-23","Convict",2315,20.9,0.39,8.03,73.1,172.3,139.8,2,NA,NA,"cladocera","Below",18968
"297","71_16S","236_Z","MP_340_16S","Zooplankton","Calanoid",50,"5","2022-08-23","Serene",3124,18.8,1.98,7.9,67.8,20.8,16.5,3,NA,NA,"copepoda","Above",554
"298","73_16S","47_Z","MP_342_16S","Zooplankton","Daphnia",30,"5","2022-08-22","Blue",3005,18.5,0.55,7.93,73.1,115.1,93.6,1.1,NA,NA,"cladocera","Above",6605
"299","74_16S","222_Z","MP_343_16S","Zooplankton","Cyclopoid",50,"5","2022-08-22","Virginia",2983,19.5,0.83,8.48,75.6,105.4,87.9,7.75,NA,NA,"copepoda","Above",179
"300","75_16S","42_W","MP_344_16S","Water","Water",NA,"4","2022-08-04","Virginia",2983,17.7,0.34,8.61,77.4,102.1,87.8,66.6,3228.98,4.02,"water","Above",6961
"301","76_16S","233_Z","MP_345_16S","Zooplankton","Daphnia",30,"5","2022-08-23","Serene",3124,18.8,1.98,7.9,67.8,20.8,16.5,3,NA,NA,"cladocera","Above",2018
"302","77_16S","31_W","MP_346_16S","Water","Water",NA,"3","2022-07-22","Convict",2315,18.2,0.2,8.34,76.7,164.8,143.5,0.8,103.23,204.95,"water","Below",124
"303","79_16S","23_Z22","MP_348_16S","Zooplankton","Cyclopoid",50,"1","2022-06-26","Eastern Brook",3155,13.1,0.4,6.9,67.3,20,15.5,3.1,217.44,32.97,"copepoda","Above",5866
"304","81_16S","44_W","MP_350_16S","Water","Water",NA,"5","2022-08-23","Eastern Brook",3155,18.1,1.38,8.11,64.8,27.5,21,3.2,NA,NA,"water","Above",1182
"305","83_16S","46_W","MP_352_16S","Water","Water",NA,"5","2022-08-22","Cooney",3116,17.9,0,8.07,69.8,177.3,139.8,31.3,NA,NA,"water","Above",919
"306","84_16S","36_W","MP_353_16S","Water","Water",NA,"3","2022-07-21","Virginia",2983,18.7,0.35,8.48,81.4,93,81.9,1.1,217.24,7.74,"water","Above",861
"307","85_16S","250_Z","MP_354_16S","Zooplankton","Calanoid",50,"5","2022-08-23","Convict",2315,20.9,0.39,8.03,73.1,172.3,139.8,2,NA,NA,"copepoda","Below",138
"308","86_16S","40_W","MP_355_16S","Water","Water",NA,"4","2022-08-04","Cooney",3116,16.2,0.87,7.77,74.5,126.8,105.5,99.2,5982.29,7.43,"water","Above",27544
"309","87_16S","244_Z","MP_356_16S","Zooplankton","Holopedium",10,"5","2022-08-23","Serene",3124,18.8,1.98,7.9,67.8,20.8,16.5,3,NA,NA,"cladocera","Above",155436
"310","88_16S","45_W","MP_357_16S","Water","Water",NA,"5","2022-08-23","Serene",3124,18.8,1.98,7.9,67.8,20.8,16.5,3,NA,NA,"water","Above",9227
"311","89_16S","248_Z","MP_358_16S","Zooplankton","Daphnia",30,"5","2022-08-23","Convict",2315,20.9,0.39,8.03,73.1,172.3,139.8,2,NA,NA,"cladocera","Below",43645
"312","90_16S","41_W","MP_359_16S","Water","Water",NA,"4","2022-08-04","Blue",3005,16.3,0.02,7.99,75.6,110.7,92.3,1.9,100.86,3.41,"water","Above",630
"313","91_16S","230_Z","MP_360_16S","Zooplankton","Cyclopoid",50,"5","2022-08-23","Eastern Brook",3155,18.1,1.38,8.11,64.8,27.5,21,3.2,NA,NA,"copepoda","Above",461
"314","92_16S","240_Z","MP_361_16S","Zooplankton","Ceriodaphnia",50,"5","2022-08-23","Serene",3124,18.8,1.98,7.9,67.8,20.8,16.5,3,NA,NA,"cladocera","Above",103323
"315","93_16S","48_W","MP_362_16S","Water","Water",NA,"5","2022-08-22","Virginia",2983,19.5,0.83,8.48,75.6,105.4,87.9,7.75,NA,NA,"water","Above",1343
"316","94_16S","224_Z","MP_363_16S","Zooplankton","Daphnia",30,"5","2022-08-23","Eastern Brook",3155,18.1,1.38,8.11,64.8,27.5,21,3.2,NA,NA,"cladocera","Above",3601
"317","95_16S","247_Z","MP_364_16S","Zooplankton","Daphnia",30,"5","2022-08-23","Convict",2315,20.9,0.39,8.03,73.1,172.3,139.8,2,NA,NA,"cladocera","Below",783
"318","96_16S","47_W","MP_365_16S","Water","Water",NA,"5","2022-08-22","Blue",3005,18.5,0.55,7.93,73.1,115.1,93.6,1.1,NA,NA,"water","Above",475
"319","97_16S","252_Z","MP_366_16S","Zooplankton","Calanoid",50,"5","2022-08-23","Convict",2315,20.9,0.39,8.03,73.1,172.3,139.8,2,NA,NA,"copepoda","Below",5671
"320","98_16S","232_Z","MP_367_16S","Zooplankton","Daphnia",30,"5","2022-08-23","Serene",3124,18.8,1.98,7.9,67.8,20.8,16.5,3,NA,NA,"cladocera","Above",1115
